ORPHAcode	PreferredTerm	Synonyms	ICDcodes
86843	Acute panmyelosis with myelofibrosis	Acute myelofibrosis	
86843	Acute panmyelosis with myelofibrosis	Acute myelosclerosis	
86841	Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality		D46.7
86841	Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality	5q- syndrome	
86839	Refractory anemia with excess blasts		D46.2
86839	Refractory anemia with excess blasts	RAEB	
512103	Autosomal recessive epidermolytic ichthyosis		Q80.8
512103	Autosomal recessive epidermolytic ichthyosis	AREI	
86834	Juvenile myelomonocytic leukemia		C93.3
86834	Juvenile myelomonocytic leukemia	JMML	
86834	Juvenile myelomonocytic leukemia	Juvenile chronic myelomonocytic leukemia	
86830	Chronic myeloproliferative disease, unclassifiable		D47.1
86830	Chronic myeloproliferative disease, unclassifiable	CMPD-U	
86830	Chronic myeloproliferative disease, unclassifiable	Undifferentiated myeloproliferative disease	
86829	Chronic neutrophilic leukemia		D47.1
86855	Plasmacytoma		C90.2
86855	Plasmacytoma	Solitary plasmacytoma	C90.3
512260	Congenital cerebellar ataxia due to RNU12 mutation		G11.0
86854	Splenic marginal zone lymphoma		C83.0
86854	Splenic marginal zone lymphoma	SMZL	
86852	B-cell prolymphocytic leukemia		C91.3
86852	B-cell prolymphocytic leukemia	B-PLL	
86850	Myeloid sarcoma		C92.3
86850	Myeloid sarcoma	Chloroma	
86850	Myeloid sarcoma	Extramedullary myeloid tumor	
86850	Myeloid sarcoma	Granulocytic sarcoma	
86849	Acute basophilic leukemia		C94.7
86845	Acute myeloid leukaemia with myelodysplasia-related features		C92.8
86845	Acute myeloid leukaemia with myelodysplasia-related features	AML with multilineage dysplasia	
86845	Acute myeloid leukaemia with myelodysplasia-related features	AML with myelodysplasia-related features	
86845	Acute myeloid leukaemia with myelodysplasia-related features	Acute myeloid leukemia with multilineage dysplasia	
86872	T-cell large granular lymphocyte leukemia		C91.7
86872	T-cell large granular lymphocyte leukemia	Proliferation of large granular lymphocytes	
86872	T-cell large granular lymphocyte leukemia	T-LGL	
86872	T-cell large granular lymphocyte leukemia	T-cell LGL leukemia	
86873	Aggressive NK-cell leukemia		C94.7
86873	Aggressive NK-cell leukemia	ANKCL	
86873	Aggressive NK-cell leukemia	Aggressive NK-cell lymphoma	
86873	Aggressive NK-cell leukemia	NK-cell LGL leukemia	
86873	Aggressive NK-cell leukemia	NK-cell large granular lymphocyte leukemia	
86870	Blastic plasmacytoid dendritic cell neoplasm		C86.4
86870	Blastic plasmacytoid dendritic cell neoplasm	BPDCN	
86871	T-cell prolymphocytic leukemia		C91.6
86871	T-cell prolymphocytic leukemia	T-PLL	
86871	T-cell prolymphocytic leukemia	T-cell chronic lymphocytic leukemia	
86867	Nodal marginal zone B-cell lymphoma		C83.0
86867	Nodal marginal zone B-cell lymphoma	NMZL	
86869	Lymphomatoid granulomatosis		C83.8
86869	Lymphomatoid granulomatosis	LYG	
86861	Non-amyloid monoclonal immunoglobulin deposition disease		D89.8
86861	Non-amyloid monoclonal immunoglobulin deposition disease	Non-amyloid MIDD	
86861	Non-amyloid monoclonal immunoglobulin deposition disease	Randall disease	
86864	Heavy chain disease		C88.2
86864	Heavy chain disease	HCD	C88.3
86886	Angioimmunoblastic T-cell lymphoma		C86.5
86886	Angioimmunoblastic T-cell lymphoma	AILT	
86886	Angioimmunoblastic T-cell lymphoma	Immunoblastic lymphadenopathy	
86886	Angioimmunoblastic T-cell lymphoma	Lymphogranulomatosis X	
86886	Angioimmunoblastic T-cell lymphoma	T-cell lymphoma, AILD type	
86893	Nodular lymphocyte predominant Hodgkin lymphoma		C81.0
86893	Nodular lymphocyte predominant Hodgkin lymphoma	NLPHL	
86884	Subcutaneous panniculitis-like T-cell lymphoma		C83.6
86884	Subcutaneous panniculitis-like T-cell lymphoma	SPTCL	
86884	Subcutaneous panniculitis-like T-cell lymphoma	Subcutaneous panniculitic T-cell lymphoma	
86885	Primary cutaneous peripheral T-cell lymphoma not otherwise specified		C84.4
86885	Primary cutaneous peripheral T-cell lymphoma not otherwise specified	Primary cutaneous peripheral T-cell lymphoma NOS	
86885	Primary cutaneous peripheral T-cell lymphoma not otherwise specified	Primary cutaneous unspecified peripheral T-cell lymphoma	
86880	Enteropathy-associated T-cell lymphoma		C86.2
86880	Enteropathy-associated T-cell lymphoma	EATL	
86880	Enteropathy-associated T-cell lymphoma	ETTL	
86880	Enteropathy-associated T-cell lymphoma	Enteropathy-type T-cell lymphoma	
86880	Enteropathy-associated T-cell lymphoma	Intestinal T-cell lymphoma	
86882	Hepatosplenic T-cell lymphoma		C86.1
86875	Adult T-cell leukemia/lymphoma		C91.5
86875	Adult T-cell leukemia/lymphoma	ATLL	
86879	Extranodal nasal NK/T cell lymphoma		C86.0
86879	Extranodal nasal NK/T cell lymphoma	Angiocentric T-cell lymphoma	
86879	Extranodal nasal NK/T cell lymphoma	Lethal midline granuloma	
86879	Extranodal nasal NK/T cell lymphoma	NK/T-cell lymphoma	
86879	Extranodal nasal NK/T cell lymphoma	NKTCL	
86879	Extranodal nasal NK/T cell lymphoma	Nasal T/natural killer-cell lymphoma	
79502	Punctate palmoplantar keratoderma type 2		Q82.8
79502	Punctate palmoplantar keratoderma type 2	PPKP2	
79502	Punctate palmoplantar keratoderma type 2	PPPP	
79502	Punctate palmoplantar keratoderma type 2	Porokeratosis punctata palmaris et plantaris	
79502	Punctate palmoplantar keratoderma type 2	Punctate palmoplantar hyperkeratosis type 2	
79503	Ichthyosis hystrix of Curth-Macklin		Q80.8
79503	Ichthyosis hystrix of Curth-Macklin	Ichthyosis hystrix, Curth-Macklin type	
79506	Cholesterol-ester transfer protein deficiency		E78.4
79506	Cholesterol-ester transfer protein deficiency	CEPT deficiency	
79506	Cholesterol-ester transfer protein deficiency	Familial hyperalphalipoproteinemia type I	
79507	Hypotonia-failure to thrive-microcephaly syndrome		E88.8
79507	Hypotonia-failure to thrive-microcephaly syndrome	LTC4 synthase deficiency	
79507	Hypotonia-failure to thrive-microcephaly syndrome	Leukotriene C4 synthase deficiency	
79499	Autosomal dominant deafness-onychodystrophy syndrome		Q87.8
79499	Autosomal dominant deafness-onychodystrophy syndrome	Autosomal dominant hearing loss-onychodystrophy syndrome	
79499	Autosomal dominant deafness-onychodystrophy syndrome	DDOD syndrome	
79500	DOORS syndrome		Q87.8
79500	DOORS syndrome	Autosomal recessive deafness-onychodystrophy syndrome	
79500	DOORS syndrome	Autosomal recessive hearing loss-onychodystrophy syndrome	
79500	DOORS syndrome	DOOR syndrome	
79500	DOORS syndrome	Deafness-onychodystrophy-osteodystrophy-intellectual disability syndrome	
79500	DOORS syndrome	Deafness-onychodystrophy-osteodystrophy-intellectual disability-seizures syndrome	
79500	DOORS syndrome	Deafness-onychoosteodystrophy-intellectual disability syndrome	
79500	DOORS syndrome	Hearing loss-onychodystrophy-osteodystrophy-intellectual disability syndrome	
79500	DOORS syndrome	Hearing loss-onychodystrophy-osteodystrophy-intellectual disability-seizures syndrome	
79500	DOORS syndrome	Hearing loss-onychoosteodystrophy-intellectual disability syndrome	
79501	Punctate palmoplantar keratoderma type 1		Q82.8
79501	Punctate palmoplantar keratoderma type 1	Buschke-Fischer-Brauer syndrome	
79501	Punctate palmoplantar keratoderma type 1	Keratodermia palmoplantaris papulosa, Buschke-Fischer-Brauer type	
79501	Punctate palmoplantar keratoderma type 1	PPKP1	
79643	Autosomal recessive hyperinsulinism due to SUR1 deficiency		E16.1
79643	Autosomal recessive hyperinsulinism due to SUR1 deficiency	Autosomal recessive hyperinsulinemic hypoglycemia due to SUR1 deficiency	
79644	Autosomal recessive hyperinsulinism due to Kir6.2 deficiency		E16.1
79644	Autosomal recessive hyperinsulinism due to Kir6.2 deficiency	Autosomal recessive hyperinsulinemic hypoglycemia due to Kir6.2 deficiency	
83317	Scrub typhus		A75.3
83317	Scrub typhus	Tsutsugamushi disease	
83317	Scrub typhus	Tsutsugamushi fever	
83315	Murine typhus		A75.2
83315	Murine typhus	Endemic typhus	
83315	Murine typhus	Flea-borne typhus	
83316	Pseudotyphus of California		A79.8
83313	Boutonneuse fever		A77.1
83313	Boutonneuse fever	Mediterranean spotted fever	
83314	Epidemic typhus		A75.0
83311	Rocky Mountain spotted fever		A77.0
83312	Rickettsialpox		A79.1
83469	Desmoplastic small round cell tumor		C48.2
83469	Desmoplastic small round cell tumor	DSRCT	
83468	Solitary bone cyst		M85.4
83468	Solitary bone cyst	Unicameral bone cyst	
83467	Morvan syndrome		G60.8
83467	Morvan syndrome	Limbic encephalitis-neuromyotonia-hyperhidrosis-polyneuropathy syndrome	
83467	Morvan syndrome	Morvan fibrillary chorea	
83465	Narcolepsy type 2		G47.4
83465	Narcolepsy type 2	Narcolepsy without cataplexy	
83476	West-Nile encephalitis		A92.3
83476	West-Nile encephalitis	West-Nile fever	
83473	Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome		Q04.8
83473	Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome	MPPH syndrome	
83472	CAMOS syndrome		G11.1
83472	CAMOS syndrome	Cerebellar ataxia-intellectual disability-optic atrophy-skin abnormalities syndrome	
83472	CAMOS syndrome	SCAR5	
83471	T-cell immunodeficiency with thymic aplasia		D81.4
83471	T-cell immunodeficiency with thymic aplasia	Nezelof syndrome	
83471	T-cell immunodeficiency with thymic aplasia	TIDTA	
83452	Complex regional pain syndrome		G90.6
83452	Complex regional pain syndrome		G90.5
83451	Florid cemento-osseous dysplasia		D16.4
83451	Florid cemento-osseous dysplasia	Florid osseous dysplasia	D16.5
83451	Florid cemento-osseous dysplasia	Focal cemento-osseous dysplasia	
83450	Regional odontodysplasia		K00.4
83450	Regional odontodysplasia	Ghost teeth	
83463	Microtia		Q17.2
83461	Congenital primary aphakia		Q12.3
83454	Glomuvenous malformation		Q27.8
83454	Glomuvenous malformation	Glomangiomatosis	
83454	Glomuvenous malformation	Hereditary multiple glomangiomas	
83454	Glomuvenous malformation	Multiple glomus tumors	
83454	Glomuvenous malformation	VMGLOM	
83454	Glomuvenous malformation	Venous malformations with glomus cells	
83453	Vulvovaginal gingival syndrome		L43.8
514352	Congenital brachyesophagus-intrathoracic stomach-vertebral anomalies syndrome		Q87.8
514352	Congenital brachyesophagus-intrathoracic stomach-vertebral anomalies syndrome	Serpentine-like syndrome	
83619	Macrostomia-preauricular tags-external ophthalmoplegia syndrome		Q87.0
83620	Enteric anendocrinosis		P78.3
83620	Enteric anendocrinosis	Congenital malabsorptive diarrhea due to paucity of enteroendocrine cells	
83628	LUMBAR syndrome		Q87.8
83628	LUMBAR syndrome	Lower body hemangioma-urogenital anomalies-myelopathy-bony deformities-anorectal and arterial malformations-renal anomalies syndrome	
83628	LUMBAR syndrome	PELVIS syndrome	
83628	LUMBAR syndrome	Perineal hemangioma-external genitalia malformations-lipomyelomeningocele-vesicorenal abnormalities-imperforate anus-skin tag syndrome	
83628	LUMBAR syndrome	SACRAL syndrome	
83601	Steroid-responsive encephalopathy associated with autoimmune thyroiditis		G04.8
83601	Steroid-responsive encephalopathy associated with autoimmune thyroiditis	Hashimoto encephalitis	
83601	Steroid-responsive encephalopathy associated with autoimmune thyroiditis	SREAT	
83616	Rubella panencephalitis		B06.0+
83616	Rubella panencephalitis		G05.1*
83617	Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome		Q87.0
83594	Eastern equine encephalitis		A83.2
83594	Eastern equine encephalitis	Eastern equine encephalomyelitis	
83595	Colorado tick fever		A93.2
83595	Colorado tick fever	American mountain fever	
83595	Colorado tick fever	Colorado tick encephalitis	
83595	Colorado tick fever	Colorado tick-borne disease	
83595	Colorado tick fever	Mountain fever	
83595	Colorado tick fever	Mountain tick fever	
83597	Acute disseminated encephalomyelitis		G04.0
83597	Acute disseminated encephalomyelitis	ADEM	
83597	Acute disseminated encephalomyelitis	Acute disseminated encephalitis	
83600	Encephalitis lethargica		A85.8
83600	Encephalitis lethargica	Von Economo encephalitis	
83482	Mycoplasma encephalitis		B96.0
83483	La Crosse encephalitis		A83.5
83483	La Crosse encephalitis	Californian encephalitis	
83484	St. Louis encephalitis		A83.3
83484	St. Louis encephalitis	Saint Louis encephalitis	
83593	Western equine encephalitis		A83.1
83593	Western equine encephalitis	Western equine encephalomyelitis	
84085	Hinman syndrome		N32.8
84085	Hinman syndrome	HAS	
84085	Hinman syndrome	HS	
84085	Hinman syndrome	Hinman-Allen syndrome	
84085	Hinman syndrome	Non-neurogenic neurogenic bladder	
84085	Hinman syndrome	Occult neuropathic bladder	
84081	Senior-Boichis syndrome		Q61.8
84081	Senior-Boichis syndrome	Boichis disease	
84081	Senior-Boichis syndrome	Nephronophthisis-hepatic fibrosis syndrome	
84090	Fibronectin glomerulopathy		N07.6
84090	Fibronectin glomerulopathy	GFND	
84090	Fibronectin glomerulopathy	Glomerulopathy with fibronectin deposits	
84087	Collagen type III glomerulopathy		N07.6
84087	Collagen type III glomerulopathy	Collagenofibrotic glomerulopathy	
84064	Syndromic diarrhea		K52.8
84064	Syndromic diarrhea	Phenotypic diarrhea	
84064	Syndromic diarrhea	SD/THE	
84064	Syndromic diarrhea	Syndromic diarrhea/Tricho-hepato-enteric syndrome	
84064	Syndromic diarrhea	Tricho-hepato-enteric syndrome	
84064	Syndromic diarrhea	Trichohepatoenteric syndrome	
84065	Idiopathic malabsorption due to bile acid synthesis defects		K90.8
84065	Idiopathic malabsorption due to bile acid synthesis defects	Idiopathic bile acid malabsorption	
513436	Autosomal recessive spastic paraplegia type 78		G11.4
513436	Autosomal recessive spastic paraplegia type 78	SPG78	
83639	Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency		E88.8
83639	Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency	Congenital disorder of glycosylation due to PIGM deficiency	
83639	Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency	PIGM-CDG	
83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome		G37.8
83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome	H-SMD	
83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome	Hypomyelination-spondyloepimetaphyseal dysplasia syndrome	
83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome	Leukoencephalopathy-SEMD syndrome	
83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome	Leukoencephalopathy-metaphyseal chondrodysplasia syndrome	
513456	Intellectual disability-seizures-abnormal gait-facial dysmorphism syndrome		Q87.0
513456	Intellectual disability-seizures-abnormal gait-facial dysmorphism syndrome	Skraban-Deardorff syndrome	
83642	Microcytic anemia with liver iron overload		D50.8
85163	Hypomyelination-congenital cataract syndrome		G37.8
85164	Camptodactyly-tall stature-scoliosis-hearing loss syndrome		Q87.2
85164	Camptodactyly-tall stature-scoliosis-hearing loss syndrome	CATSHL syndrome	
85164	Camptodactyly-tall stature-scoliosis-hearing loss syndrome	Camptodactyly-tall stature-scoliosis-deafness syndrome	
85146	Neurogenic scapuloperoneal syndrome, Kaeser type		G12.1
85146	Neurogenic scapuloperoneal syndrome, Kaeser type	Kaeser syndrome	
85146	Neurogenic scapuloperoneal syndrome, Kaeser type	Stark-Kaeser syndrome	
85162	Facial onset sensory and motor neuronopathy		G60.0
85162	Facial onset sensory and motor neuronopathy	FOSMN syndrome	
85138	Addison disease		E27.1
85138	Addison disease	Autoimmune Addison disease	
85138	Addison disease	Autoimmune adrenalitis	
85138	Addison disease	Classic Addison disease	
85138	Addison disease	Primary Addison disease	
85128	Bothnia retinal dystrophy		H35.5
85128	Bothnia retinal dystrophy	Västerbotten dystrophy	
85136	Cystic leukoencephalopathy without megalencephaly		E75.2
85136	Cystic leukoencephalopathy without megalencephaly	CLWM	
85110	Familial encephalopathy with neuroserpin inclusion bodies		G31.8
85110	Familial encephalopathy with neuroserpin inclusion bodies	FENIB	
85112	Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome		Q56.0
85112	Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome	Palmoplantar hyperkeratosis-XX sex reversal-predisposition to squamous cell carcinoma syndrome	
84132	Desmin-related myopathy with Mallory body-like inclusions		G71.8
84132	Desmin-related myopathy with Mallory body-like inclusions	Early-onset desmin-related myopathy	
84142	Isaacs syndrome		G71.1
84142	Isaacs syndrome	Continuous muscle fiber activity syndrome	
84142	Isaacs syndrome	Isaacs-Mertens syndrome	
84142	Isaacs syndrome	Quantal squander syndrome	
84093	Hereditary thermosensitive neuropathy		G60.0
85186	Endosteal sclerosis-cerebellar hypoplasia syndrome		Q87.8
85184	Craniometadiaphyseal dysplasia, wormian bone type		Q78.8
85182	Diaphyseal medullary stenosis-bone malignancy syndrome		M89.8
85182	Diaphyseal medullary stenosis-bone malignancy syndrome	Bone dysplasia-medullary fibrosarcoma syndrome	
85182	Diaphyseal medullary stenosis-bone malignancy syndrome	Diaphyseal medullary stenosis-malignant fibrous histiocytoma syndrome	
85182	Diaphyseal medullary stenosis-bone malignancy syndrome	Hardcastle syndrome	
85179	Infantile osteopetrosis with neuroaxonal dysplasia		Q78.2
85175	Astley-Kendall dysplasia		Q77.3
85174	Pseudodiastrophic dysplasia		Q78.8
85173	IMAGe syndrome		Q87.1
85173	IMAGe syndrome	Intrauterine growth retardation-metaphyseal dysplasia-adrenal hypoplasia congenita-genital anomalies syndrome	
85172	Microcephalic osteodysplastic dysplasia, Saul-Wilson type		Q78.8
85170	Mesomelic dysplasia, Savarirayan type		Q78.8
85170	Mesomelic dysplasia, Savarirayan type	Mesomelic dysplasia with absent fibulas and triangular tibias	
85170	Mesomelic dysplasia, Savarirayan type	Triangular tibia-fibular aplasia syndrome	
85169	Familial digital arthropathy-brachydactyly		M06.8
85168	Craniofacial conodysplasia		Q87.5
85167	Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome		Q77.8
85167	Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome	SMD-CRD	
85166	Platyspondylic dysplasia, Torrance type		Q77.8
85166	Platyspondylic dysplasia, Torrance type	PLSD-T	
85166	Platyspondylic dysplasia, Torrance type	Platyspondylic dysplasia, Torrance-Luton type	
85166	Platyspondylic dysplasia, Torrance type	Platyspondylic lethal skeletal dysplasia, Torrance type	
85165	Severe achondroplasia-developmental delay-acanthosis nigricans syndrome		Q77.4
85165	Severe achondroplasia-developmental delay-acanthosis nigricans syndrome	SADDAN	
603448	Cerebellar hypoplasia-intellectual disability-congenital microcephaly-dystonia-anemia-growth retardation syndrome		Q04.8
603448	Cerebellar hypoplasia-intellectual disability-congenital microcephaly-dystonia-anemia-growth retardation syndrome	CIMDAG syndrome	
603515	Isolated female hypospadias		Q54.8
603494	Coloboma-osteopetrosis-microphthalmia-macrocephaly-albinism-deafness syndrome		Q87.8
603494	Coloboma-osteopetrosis-microphthalmia-macrocephaly-albinism-deafness syndrome	COMMAD syndrome	
603689	KLHL7-related Bohring-Opitz-like syndrome		Q87.8
603689	KLHL7-related Bohring-Opitz-like syndrome	KLHL7-related BOS-like syndrome	
603684	KLHL7-related Bohring-Opitz-like and Crisponi/Cold-induced sweating-like overlap syndrome		Q87.8
603684	KLHL7-related Bohring-Opitz-like and Crisponi/Cold-induced sweating-like overlap syndrome	PERCHING syndrome	
603694	KLHL7-related Crisponi/cold-induced sweating-like syndrome		Q87.8
603694	KLHL7-related Crisponi/cold-induced sweating-like syndrome	KLHL7-related Crisponi-like syndrome	
610573	CLCN6-related childhood-onset progressive neurodegeneration-peripheral neuropathy syndrome		G93.8
610573	CLCN6-related childhood-onset progressive neurodegeneration-peripheral neuropathy syndrome		G31.8
610569	KIAA1109-related early lethal congenital brain malformations-arthrogryposis syndrome		Q68.8
610569	KIAA1109-related early lethal congenital brain malformations-arthrogryposis syndrome	Alkuraya-Kucinskas syndrome	
604680	Symptomatic form of X-linked centronuclear myopathy in female carriers		G71.2
604680	Symptomatic form of X-linked centronuclear myopathy in female carriers	Symptomatic form of X-linked myotubular myopathy in female carriers	
604680	Symptomatic form of X-linked centronuclear myopathy in female carriers	Symptomatic form of XLCNM in female carriers	
604680	Symptomatic form of X-linked centronuclear myopathy in female carriers	Symptomatic form of XLMTM in female carriers	
611256	Pontocerebellar hypoplasia type 12		Q04.3
611256	Pontocerebellar hypoplasia type 12	COASY-related pontocerebellar hypoplasia	
611256	Pontocerebellar hypoplasia type 12	PCH12	
611237	Parkinsonism with polyneuropathy		G20
611247	Pontocerebellar hypoplasia type 11		Q04.3
611247	Pontocerebellar hypoplasia type 11	PCH11	
611247	Pontocerebellar hypoplasia type 11	Pontocerebellar hypoplasia due to TBC1D23	
611216	Aplastic anemia-intellectual disability-dwarfism syndrome		D61.0
611216	Aplastic anemia-intellectual disability-dwarfism syndrome	AMeD syndrome	
611223	EN1-related dorsoventral syndrome		Q87.2
611223	EN1-related dorsoventral syndrome	ENDOVE syndrome	
611223	EN1-related dorsoventral syndrome	ENDOVES	
611201	Oculogastrointestinal-neurodevelopmental syndrome		Q87.8
611201	Oculogastrointestinal-neurodevelopmental syndrome	OGIN Syndrome	
611207	Spondyloepiphyseal dysplasia-sensorineural hearing loss-intellectual disability-Leber congenital amaurosis syndrome		Q87.8
611207	Spondyloepiphyseal dysplasia-sensorineural hearing loss-intellectual disability-Leber congenital amaurosis syndrome	SHILCA syndrome	
613267	Pontocerebellar hypoplasia type 13		Q04.3
613267	Pontocerebellar hypoplasia type 13	PCH13	
613274	Pontocerebellar hypoplasia type 14		Q04.3
613274	Pontocerebellar hypoplasia type 14	PCH14	
600668	CCNK-related neurodevelopmental disorder-severe intellectual disability-facial dysmorphism syndrome		G93.8
600663	NRXN1-related severe neurodevelopmental disorder-motor stereotypies-chronic constipation-sleep-wake cycle disturbance		G96.8
600691	Combined deficiency of factor VII and factor X		D68.4
600731	Clark-Baraitser syndrome		Q87.8
98267	Genetic non-syndromic obesity		E66.8
98267	Genetic non-syndromic obesity	Monogenic obesity due to a leptin-melanocortin pathway anomaly	
601028	Non-syndromic anorectal malformation with rectovaginal fistula		Q42.0
601028	Non-syndromic anorectal malformation with rectovaginal fistula	Non-syndromic ARM with rectovaginal fistula	Q42.2
601033	Non-syndromic anorectal malformation with H-type fistula		Q42.0
601033	Non-syndromic anorectal malformation with H-type fistula	Non-syndromic ARM with H-type fistula	Q42.2
601008	Non-syndromic anorectal malformation with anal stenosis		Q42.3
601008	Non-syndromic anorectal malformation with anal stenosis	Non-syndromic ARM with anal stenosis	
601013	Non-syndromic anorectal malformation with pouch colon		Q42.3
601013	Non-syndromic anorectal malformation with pouch colon	Non-syndromic ARM with pouch colon	Q42.1
601018	Non-syndromic anorectal malformation with rectal atresia		Q42.0
601018	Non-syndromic anorectal malformation with rectal atresia	Non-syndromic ARM with rectal atresia	
601023	Non-syndromic anorectal malformation with rectal stenosis		Q42.0
601023	Non-syndromic anorectal malformation with rectal stenosis	Non-syndromic ARM with rectal stenosis	
600984	Non-syndromic anorectal malformation with rectovesical fistula		Q42.0
600984	Non-syndromic anorectal malformation with rectovesical fistula	Non-syndromic ARM with bladder neck fistula	Q42.2
600984	Non-syndromic anorectal malformation with rectovesical fistula	Non-syndromic ARM with rectovesical fistula	
600984	Non-syndromic anorectal malformation with rectovesical fistula	Non-syndromic anorectal malformation with bladder neck fistula	
600993	Non-syndromic anorectal malformation with vestibular fistula		Q42.0
600993	Non-syndromic anorectal malformation with vestibular fistula	Non-syndromic ARM with vestibular fistula	Q42.2
600998	Non-syndromic cloacal malformation		Q43.7
601002	Non-syndromic anorectal malformation without fistula		Q42.1
601002	Non-syndromic anorectal malformation without fistula	Non-syndromic ARM without fistula	Q42.3
601002	Non-syndromic anorectal malformation without fistula	Non-syndromic anorectal malformation with no fistula	
600961	Non-syndromic anorectal malformation with rectourethral fistula		Q42.0
600961	Non-syndromic anorectal malformation with rectourethral fistula	Non-syndromic ARM with rectourethral fistula	Q42.2
600952	Non-syndromic anorectal malformation with perineal fistula		Q42.0
600952	Non-syndromic anorectal malformation with perineal fistula	Non-syndromic ARM with cutaneous fistula	Q42.2
600952	Non-syndromic anorectal malformation with perineal fistula	Non-syndromic ARM with perineal fistula	
600952	Non-syndromic anorectal malformation with perineal fistula	Non-syndromic anorectal malformation with cutaneous fistula	
97244	Rigid spine syndrome		G71.2
97244	Rigid spine syndrome	Rigid spine congenital muscular dystrophy	
97261	GRFoma		C25.9
97261	GRFoma	GRF tumor	
97261	GRFoma	Growth hormone releasing factor tumor	
97252	Mega-cisterna magna		Q07.8
97249	Pontocerebellar hypoplasia type 3		Q04.3
97249	Pontocerebellar hypoplasia type 3	Cerebellar atrophy with progressive microcephaly	
97249	Pontocerebellar hypoplasia type 3	PCH3	
97279	Insulinoma		D37.7
97279	Insulinoma		C25.4
97279	Insulinoma		D13.7
97278	PPoma		E16.8
97278	PPoma	Pancreatic polypeptidoma	
97285	Thyroid lymphoma		C85.7
97283	Somatostatinoma		E16.8
97282	VIPoma		E16.8
97282	VIPoma	Diarrheogenic islet cell tumor	
97282	VIPoma	Pancreatic cholera	
97282	VIPoma	VIP-secreting tumor	
97282	VIPoma	Verner-Morrison syndrome	
97282	VIPoma	WDHA syndrome	
97282	VIPoma	Watery diarrhea-hypokalemia-achlorhydria syndrome	
97280	Glucagonoma		E16.8
97280	Glucagonoma	Glucagonoma syndrome	
97289	Thymic neuroendocrine tumor		C37
97290	Familial papillary thyroid carcinoma with renal papillary neoplasia		C64
97290	Familial papillary thyroid carcinoma with renal papillary neoplasia	PTC-RCC	C73
97286	Carney-Stratakis syndrome		D44.8
97286	Carney-Stratakis syndrome	Carney dyad	
97286	Carney-Stratakis syndrome	Carney-Stratakis dyad	
97286	Carney-Stratakis syndrome	GIST-paraganglioma dyad	
97286	Carney-Stratakis syndrome	Paraganglioma and gastric stromal sarcoma	
97287	Bronchial neuroendocrine tumor		D38.1
97287	Bronchial neuroendocrine tumor	Bronchial NET	
97292	Cardiogenic shock		R57.0
97332	Kienbock disease		M92.2
97332	Kienbock disease	Aseptic necrosis of the lunate bone	M93.1
97332	Kienbock disease	Lunatomalacia	
97332	Kienbock disease	Osteochondrosis of the lunate bone	
97332	Kienbock disease	Progressive avascular necrosis of the lunate bone	
97335	Osgood-Schlatter disease		M93.2
97335	Osgood-Schlatter disease	Aseptic necrosis of the tibial tubercle	
97335	Osgood-Schlatter disease	Osteochondrosis of the tibial tubercle	
97297	Bohring-Opitz syndrome		Q87.8
97297	Bohring-Opitz syndrome	BOS syndrome	
97297	Bohring-Opitz syndrome	Bohring syndrome	
97297	Bohring-Opitz syndrome	C-like syndrome	
97297	Bohring-Opitz syndrome	Oberklaid-Danks syndrome	
97297	Bohring-Opitz syndrome	Opitz trigonocephaly-like syndrome	
97330	Thoracic outlet syndrome		G54.0
97330	Thoracic outlet syndrome	TOS	
97330	Thoracic outlet syndrome	Thoracic outlet compression syndrome	
97338	Melanoma of soft tissue		C43.6
97338	Melanoma of soft tissue	Clear cell sarcoma of the tendons and aponeuroses	C43.7
97339	Dural sinus malformation		Q28.3
97339	Dural sinus malformation	Cranial dural arteriovenous fistula	
97339	Dural sinus malformation	Cranial dural arteriovenous malformations	
97336	Panner disease		M92.0
97336	Panner disease	Aseptic necrosis of the capital humerus	
97336	Panner disease	Osteochondrosis of the capital humerus	
97337	Sinding-Larsen-Johansson disease		M92.4
97337	Sinding-Larsen-Johansson disease	Aseptic necrosis of patella	
97337	Sinding-Larsen-Johansson disease	Osteochondrosis of patella	
97341	Persistent placoid maculopathy		H35.3
97340	Hunter-McAlpine syndrome		Q87.0
97349	Postencephalitic parkinsonism		G21.3
97352	Pellagra		E52
97353	Dementia pugilistica		F01.8
97353	Dementia pugilistica	Boxer's dementia	
